Name,GAR,AAV,Age,Pos
Slater.Koekkoek,-0.2,0.894,20,D
Curtis.Hamilton,-0.2,0.725,22,W
Nate.Thompson,-5.4,1.6,29,C
Ryan.Craig,-0.2,0.6,32,W
Shane.Prince,-0.2,0.877,21,C
Josh.Leivo,-0.2,0.792,21,W
Leon.Draisaitl,-0.2,0.925,18,C
Oscar.Lindberg,-0.2,0.675,22,C
Bryan.Allen,-0.2,3.5,34,D
Michael.Latta,-0.8,0.575,23,C
Dylan.Reese,-0.2,0.55,30,D
Brendan.Woods,-0.2,0.725,22,C
Colin.McDonald,-1,0.637,29,W
Damien.Brunner,-0.2,2.5,28,W
Jonas.Gustavsson,-0.2,1.85,29,G
Jonathon.Blum,-0.2,0.675,25,D
Ryan.Murray,-0.2,0.894,20,D
Petr.Straka,-0.2,0.925,22,W
Brad.Richardson,-1.7,1.15,29,C
Griffin.Reinhart,-1.3,0.863,20,D
Brendan.Shinnimin,-0.3,0.667,23,C
Brian.Campbell,-0.3,7.143,35,D
Eric.Tangradi,-0.3,0.675,25,W
Matt.Lindblad,-0.3,0.834,24,W
Daniil.Tarasov,-0.3,0.68,23,W
Brian.Elliott,-1.3,2.5,29,G
Joakim.Nordstrom,-2.1,0.6,22,C
Michal.Jordan,-0.3,0.55,24,D
Bryce.Salvador,-0.3,3.167,38,D
Andrew.Copp,-0.3,0.925,20,C
Victor.Bartley,-5.4,0.667,26,D
Martin.Marincin,-0.3,0.73,22,D
Kyle.Cumiskey,-1.1,0.6,27,D
Shane.O'Brien,-0.3,NA,31,D
Alexandre.Bolduc,-0.3,0.6,29,C
Gabriel.Dumont,-0.4,0.562,23,C
Kevin.Poulin,-0.4,0.65,24,G
Max.Reinhart,-0.4,0.618,22,C
Sven.Baertschi,-1.1,0.894,21,W
Philipp.Grubauer,-2.1,0.578,22,G
Conor.Allen,-0.4,0.925,24,D
Carter.Ashton,-0.4,0.851,23,W
Eric.O'Dell,-0.4,NA,24,C
Keith.Yandle,-6.4,5.25,28,D
Jay.Bouwmeester,-4.9,5.4,30,D
Cameron.Schilling,-0.4,0.625,25,D
Anthony.Bitetto,-0.4,0.605,24,D
Karri.Ramo,-2.4,2.75,28,G
Jordin.Tootoo,-0.4,0.55,31,W
Nate.Prosser,-2.7,0.7,28,D
Brian.Strait,-9.3,0.775,26,D
Garrett.Wilson,-0.5,0.715,23,W
Nicklas.Jensen,-0.5,0.863,21,W
Andrej.Meszaros,-0.5,4.125,28,D
Seth.Helgeson,-0.5,0.595,23,D
Nathan.Beaulieu,-2.4,0.925,21,D
Andrew.Miller,-0.5,0.675,25,W
Mike.Brown,-0.6,1.2,29,W
Zac.Dalpe,-0.6,0.7,24,W
Justin.Schultz,-0.6,3.675,24,D
Justin.Shugg,-0.6,0.6,22,W
Mathew.Clark,-0.6,0.55,23,D
Henrik.Samuelsson,-0.6,0.863,20,W
Petter.Granberg,-0.6,0.8,22,D
Kerby.Rychel,-0.6,0.925,19,W
Jonathan.Ericsson,-1.3,4.25,30,D
Petteri.Lindbohm,-0.6,0.637,20,D
Brian.McGrattan,-0.6,0.75,33,W
Chris.Conner,-0.6,0.55,30,W
Sean.B..Collins,-0.6,0.62,25,W
Martin.Havlat,-0.6,1.5,33,W
Brian.Ferlin,-0.6,0.875,22,W
Evander.Kane,-0.6,5.25,23,W
Luca.Sbisa,-10.1,2.175,24,D
Derek.Dorsett,-5.4,1.633,27,W
Brett.Sutter,-0.6,0.6,27,C
Eric.Gelinas,-0.7,0.9,23,D
Ryan.Malone,-0.7,0.7,34,W
Stu.Bickel,-0.7,0.6,27,W
Iiro.Pakarinen,-0.7,0.818,23,W
Borna.Rendulic,-0.7,0.62,22,W
Rasmus.Rissanen,-0.7,0.575,23,D
Brian.Dumoulin,-1.7,0.832,23,D
Ty.Rattie,-0.7,0.772,21,W
Steven.Pinizzotto,-0.7,0.65,30,W
Olli.Maatta,-0.7,0.894,20,D
Jesse.Joensuu,-0.8,0.95,26,W
Jim.Slater,-5,1.6,31,C
Johan.Franzen,-0.8,3.955,34,W
Marcus.Foligno,-0.8,1.875,23,W
Nick.Cousins,-0.8,0.812,21,C
Eriah.Hayes,-0.8,0.9,26,W
Tanner.Glass,-8.4,1.45,30,W
Patrick.Brown,-0.9,0.652,22,W
Timothy.Schaller,-0.9,0.925,23,C
Kris.Russell,-9.4,2.6,27,D
Mason.Raymond,-2.5,3.15,28,W
Ryan.Hartman,-0.9,0.925,19,W
Cory.Conacher,-0.9,0.6,24,W
Viktor.Arvidsson,-0.9,0.632,21,W
Kimmo.Timonen,-4.8,2,39,D
Dany.Heatley,-1,1,33,W
Taylor.Fedun,-1,0.575,26,D
Magnus.Paajarvi,-1,1.2,23,W
Sam.Reinhart,-1,0.925,18,C
Jordan.Leopold,-3,2.25,34,D
Jason.Labarbera,-1,0.75,34,G
Mike.Richards,-1,5.75,29,C
Joni.Ortio,-1,0.6,23,G
T.J..Brennan,-1.1,NA,25,D
Dalton.Prout,-1.1,1.075,24,D
David.Musil,-1.1,0.894,21,D
Daniel.Briere,-1.1,4,36,W
Radko.Gudas,-1.1,0.992,24,D
Stefan.Elliott,-1.1,0.851,23,D
Sam.Carrick,-1.1,0.707,22,C
Jacob.Markstrom,-1.2,1.2,24,G
Stuart.Percy,-1.2,0.863,21,D
Gabriel.Bourque,-3,0.775,23,W
Nicholas.Shore,-1.2,0.925,21,C
Ryan.Garbutt,-1.2,1.8,29,W
Alex.Biega,-1.2,0.6,26,D
Mike.Sislo,-1.2,0.562,26,W
Andrew.Ebbett,-1.3,0.55,31,C
Matt.Frattin,-1.3,0.8,26,W
Slava.Voynov,-1.3,4.167,24,D
Mark.Borowiecki,-6.4,0.575,25,D
Jerry.D'Amigo,-1.3,NA,23,W
Joe.Colborne,-3.5,1.275,24,C
Dmitry.Kulikov,-1.3,4.333,23,D
Daniel.Paille,-1.3,1.3,30,W
Jyrki.Jokipakka,-1.4,0.667,23,D
Matt.Carle,-4.4,5.5,29,D
Dan.Ellis,-1.4,0.9,34,G
Dylan.Olsen,-1.4,0.775,23,D
Anthony.Duclair,-1.4,0.772,19,W
Tommy.Wingels,-1.4,2.475,26,W
Nick.Schultz,-1.4,1.25,32,D
Andy.Andreoff,-1.4,0.55,23,C
Travis.Hamonic,-1.5,3.857,24,D
Kevin.Bieksa,-3,4.6,33,D
Adam.McQuaid,-1.5,1.567,27,D
Nikita.Nikitin,-1.5,4.5,28,D
Brad.Hunt,-1.5,0.55,26,D
Anthony.Peluso,-1.5,0.562,25,W
Keith.Ballard,-1.6,1.5,31,D
Brian.Lashoff,-1.6,0.725,24,D
Oscar.Klefbom,-1.6,0.894,21,D
Teddy.Purcell,-1.6,4.5,29,W
Zach.Sill,-1.6,0.55,26,W
Jason.Garrison,-4,4.6,29,D
Bryan.Rust,-1.7,0.652,22,W
Olli.Jokinen,-1.7,2.5,35,C
Marc.Staal,-5.3,3.975,27,D
Keith.Kinkaid,-1.7,0.6,25,G
Trevor.Daley,-1.7,3.3,30,D
Scott.Harrington,-1.8,0.589,21,D
Deryk.Engelland,-8.5,2.917,32,D
Michael.Del.Zotto,-1.9,1.3,24,D
Peter.Harrold,-1.9,0.8,31,D
David.Clarkson,-1.9,5.25,30,W
Barclay.Goodrow,-1.9,0.627,21,W
Justin.Falk,-1.9,0.7,25,D
Mike.McKenna,-1.9,0.55,31,G
Trevor.Smith,-2,0.55,29,C
Brian.Gionta,-2,4.25,35,W
Devin.Setoguchi,-2,0.75,27,W
Ryan.Murphy,-2,0.863,21,D
Scott.Hannan,-2,1,35,D
John.Scott,-2.1,0.7,31,W
Tim.Erixon,-2.1,0.6,23,D
Scott.Clemmensen,-2.1,0.6,37,G
Zach.Boychuk,-2.1,0.6,24,W
Jayson.Megna,-2.1,0.874,24,C
Morgan.Rielly,-2.1,0.894,20,D
Andrew.Campbell,-2.2,0.55,26,D
Adam.Cracknell,-2.2,0.6,29,C
Joakim.Lindstrom,-2.2,0.7,30,W
Craig.Cunningham,-2.2,0.6,24,W
Phil.Kessel,-2.2,8,26,W
Brenden.Dillon,-2.3,1.25,23,D
Matt.Ellis,-2.3,0.55,33,C
David.Moss,-2.3,0.8,32,W
R.J..Umberger,-2.3,NA,32,W
Zach.Redmond,-2.3,0.75,26,D
Vincent.Lecavalier,-2.3,4.5,34,C
David.Booth,-2.3,1.1,29,W
Martin.Jones,-2.4,0.55,24,G
Mark.Fistric,-2.4,1.267,28,D
Cody.McCormick,-2.4,1.5,31,C
Jack.Skille,-2.4,0.75,27,W
Nicklas.Grossmann,-2.4,3.5,29,D
Zemgus.Girgensons,-2.4,0.894,20,C
Christian.Ehrhoff,-2.4,4,32,D
Jamie.McGinn,-2.4,2.95,26,W
Michael.Ryder,-2.5,3.5,34,W
Matt.Tennyson,-2.5,0.625,24,D
Ryane.Clowe,-2.5,4.85,31,W
Curtis.McKenzie,-2.6,0.645,23,W
Scott.Laughton,-2.6,0.925,20,C
Kyle.Clifford,-2.6,1.15,23,W
Dennis.Everberg,-2.6,0.613,22,C
Derek.MacKenzie,-2.6,1.3,33,C
Jeremy.Morin,-2.6,0.8,23,W
Andrew.MacDonald,-2.7,5,28,D
Andrew.MacWilliam,-2.7,0.875,24,D
Alex.Petrovic,-2.7,0.795,22,D
Justin.Braun,-2.7,1.25,27,D
Ladislav.Smid,-2.7,3.5,28,D
Colin.Greening,-2.8,2.65,28,W
Matt.Fraser,-2.8,0.625,24,W
John.Curry,-2.9,0.575,30,G
Dustin.Tokarski,-2.9,0.562,24,G
Jussi.Rynnas,-3,0.562,27,G
Luke.Gazdic,-3,0.8,25,W
Martin.Brodeur,-3,0.95,42,G
Ryan.Hamilton,-3,0.6,29,W
Philip.Varone,-3,0.57,23,C
Jamie.Oleksiak,-3.1,0.894,21,D
Mike.Weber,-3.2,1.667,26,D
Jason.Akeson,-3.2,0.575,24,W
Jordan.Caron,-3.2,0.6,23,W
Joffrey.Lupul,-3.3,5.25,30,W
Taylor.Hall,-3.3,6,22,W
Chris.Summers,-3.3,0.6,26,D
Tobias.Rieder,-3.3,0.853,21,C
Jordan.Szwarz,-3.4,0.63,23,W
Patrick.Dwyer,-3.5,0.9,31,W
Max.Talbot,-3.5,1.8,30,C
Craig.Adams,-3.6,0.7,37,C
Klas.Dahlbeck,-3.6,0.613,23,D
Tye.McGinn,-3.6,0.6,24,W
John.Gibson,-3.7,0.722,21,G
Chris.Stewart,-10.1,4.15,26,W
Nathan.Gerbe,-3.8,1.75,27,W
Jack.Hillen,-3.9,0.7,28,D
James.Reimer,-3.9,2.3,26,G
John.Moore,-3.9,0.851,23,D
Dave.Bolland,-4,5.5,28,C
Adam.Burish,-4.2,1.85,31,C
Alexander.Wennberg,-4.4,0.925,19,C
Korbinian.Holzer,-4.4,0.787,26,D
Tomas.Kopecky,-4.4,3,32,W
Matt.Bartkowski,-4.5,1.25,26,D
Michael.Chaput,-4.5,0.707,22,C
Shawn.Thornton,-4.5,1.2,37,W
Nail.Yakupov,-4.6,0.925,20,W
Sergei.Gonchar,-4.6,5,40,D
Alex.Stalock,-4.6,1.6,27,G
T.J..Galiardi,-4.7,NA,26,C
Connor.Murphy,-4.7,0.863,21,D
Matt.Hackett,-4.8,0.751,24,G
Evgeni.Nabokov,-5,1.55,39,G
Mike.Weaver,-5.1,1.75,36,D
Carter.Hutton,-5.1,0.725,28,G
Keith.Aulie,-5.3,0.8,25,D
Andrew.Ference,-5.3,3.25,35,D
Anton.Forsberg,-5.3,0.655,21,G
Matt.Hendricks,-5.4,1.85,33,W
Corey.Tropp,-5.5,0.625,25,W
Eric.Brewer,-5.6,3.875,35,D
Robyn.Regehr,-5.6,3,34,D
Jon.Merrill,-5.9,0.84,22,D
Nick.Holden,-5.9,0.6,27,D
Zac.Rinaldo,-6,0.75,24,W
Dion.Phaneuf,-6,7,29,D
Jay.McClement,-6.1,1,31,C
Ryan.Stanton,-6.1,0.55,25,D
Stephane.Robidas,-6.1,3,37,D
Jay.Harrison,-6.2,1.5,31,D
Fedor.Tyutin,-6.3,4.5,31,D
B.J..Crombeen,-6.3,NA,29,W
Peter.Holland,-6.4,0.775,23,C
Chris.Phillips,-6.4,2.5,36,D
Matt.Read,-6.5,3.625,28,W
Roman.Polak,-6.5,2.75,28,D
Gregory.Campbell,-6.6,1.6,30,C
Anders.Lindback,-6.7,0.925,26,G
Patrick.Kaleta,-6.8,1.25,28,W
Rene.Bourque,-6.8,3.333,32,W
Shane.Doan,-6.8,5.252,37,W
Joe.Vitale,-6.8,1.117,29,C
Cody.Hodgson,-6.9,4.25,24,C
Dennis.Seidenberg,-7,4,33,D
Manny.Malhotra,-7.1,0.85,34,C
Mark.Fraser,-7.6,0.55,27,D
Jared.Boll,-7.7,1.7,28,W
Cody.McLeod,-7.8,1.15,30,W
Mark.Fayne,-7.8,3.625,27,D
Nikita.Zadorov,-7.9,0.894,19,D
Cam.Ward,-7.9,6.3,30,G
Brad.Stuart,-8,3.6,34,D
Lauri.Korpikoski,-8.1,2.5,28,W
Justin.Peters,-8.1,0.95,28,G
Jan.Hejda,-8.2,3.25,36,D
Tyson.Strachan,-8.6,0.65,29,D
Anton.Khudobin,-8.8,2.25,28,G
James.van.Riemsdyk,-9,4.25,25,W
Jarret.Stoll,-9.2,3.25,32,C
Robin.Lehner,-9.4,2.225,23,G
Marc-Andre.Cliche,-9.5,0.7,27,C
Andre.Benoit,-10,0.8,30,D
Dainius.Zubrus,-10.1,3.1,36,W
Josh.Gorges,-10.2,3.9,30,D
Ilya.Bryzgalov,-10.5,5.667,34,G
Rasmus.Ristolainen,-10.7,0.925,19,D
Chad.Johnson,-11,1.3,28,G
Zach.Bogosian,-11.1,5.143,24,D
Al.Montoya,-11.3,1.05,29,G
Nicolas.Deslauriers,-11.3,0.637,23,W
Niklas.Backstrom,-11.9,3.417,36,G
Mike.Smith,-12.2,5.667,32,G
Michael.Stone,-13.2,1.15,24,D
Kari.Lehtonen,-13.8,5.9,30,G
Nathan.Guenin,-14.4,0.8,31,D
Ray.Emery,-14.6,1,31,G
Viktor.Fasth,-15.5,2.9,32,G
Jhonas.Enroth,-16,1.25,26,G
Ben.Scrivens,-33.8,2.3,28,G
